original_label;group_pft;group_ord;group_fam
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Scyphozoa;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_part;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Ctenophora;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Ctenophora_part;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Echinodermata;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Echinodermata_Echinoidea_pluteus;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Echinodermata_Ophiuroidea_pluteus;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Bivalvia;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Cephalopoda;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Atlanta;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Firola;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Gymnosomata;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Cavoliniidae;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Cliidae;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Creseidae;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Creseidae_Hyalocylis_Hyalocylis striata;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Cuvierinidae;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Cymbulia peroni;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Limacinidae;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_egg;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_part;other_small;other_small;other_small
living_other_egg;other_small;other_small;other_small
living_other_multiple;other_small;other_small;other_small
living_other_othertocheck;detritus;detritus;detritus
not_living_artefact;detritus;detritus;detritus
not_living_artefact_badfocus;detritus;detritus;detritus
not_living_artefact_bubble;detritus;detritus;detritus
not_living_detritus;detritus;detritus;detritus
not_living_detritus_fiber;detritus;detritus;detritus
temporary_t001;detritus;detritus;detritus
temporary_t002;detritus;detritus;detritus
temporary_t004;detritus;detritus;detritus
temporary_t005;detritus;detritus;detritus
temporary_t007;detritus;detritus;detritus
temporary_t009;detritus;detritus;detritus
temporary_t010;detritus;detritus;detritus
temporary_t013;detritus;detritus;detritus
temporary_t014;detritus;detritus;detritus
