18.178,0.022222,1.6889,80.533,1.6,0,6.8889,35.733,0.84444,0.022222,0.73333,0,0.37778,27.556,9.6222,1.4222,0,0,0.26667,0,6.9111,62.822,0,0,0.4,19.622,2.2444,0.35556,0.35556,11.733,1.1333,6.7778,1.1111
6.1435,0,1.8228,120.74,0,0,12.523,6.211,0.10127,0.16878,0,0,0.13502,21.84,8.6076,0.67511,0,0,0.91139,0,3.1392,82.16,0,0.20253,1.5865,5.9072,1.1477,0.3038,0.57384,6.5148,11.544,8.9451,0.47257
36.786,0,0,3434.9,0,13.929,1214.4,46.214,0,0,0,0,0.071429,9.3571,0.21429,0,0.57143,0,4.5714,0,14.714,1752.9,0,0,27.143,18.929,1.5,14.429,4.6429,64.714,3.2857,10.286,73.286
24.869,0,0.73143,106.06,0,0.18286,10.331,8.5943,3.6571,0.41143,0.73143,0,0.091429,36.023,0.64,1.7371,0,0.82286,0,0,10.56,106.47,0,0.18286,3.7486,4.5257,2.2857,1.0514,2.1943,3.6114,14.171,4.7086,2.9714
1.4821,0,1.8155,37.321,0,0.047619,5.7262,0.2381,0.29167,0.095238,0.095238,0,0.095238,4.9107,0.57738,0,0,0,0.14881,0,2.2798,68.756,0,0,0.011905,0.10714,2.8571,0.29762,14.732,1.3988,8.4524,7.1726,2.381
14.629,0,460.8,789.94,2.4381,0,152.38,0,76.8,2.4381,0,1.219,14.629,459.58,8.5333,1.219,0,7.3143,0,0,15.848,3264.6,1.219,0,3.6571,34.133,40.229,0,81.676,120.69,515.66,140.19,119.47
11.457,0,2.4321,81.111,0.39506,107.91,24.235,0.39506,0.41975,1.1852,0,0,0.79012,85.852,1.5802,0,0,0.08642,0,0.012346,0.4321,268.12,2.7901,2.3704,0,9.9136,0.80247,0.48148,170.41,13.469,3.9753,4.3951,138.84
0,7.0459,133.28,300.62,0,0,135.05,0,3.2294,0,0,0,2.6422,938.57,7.3394,0,0,0,0,0,2.9358,1740.6,0,0,0.58716,59.009,26.422,3.8165,9.6881,250.13,47.853,8.5138,160.29
8,0,72,301.33,0,0,69.333,2.6667,2.6667,0,1.3333,0,0,1177.3,8,0,0,0,0,0,2.6667,1601.3,0,0,2.6667,41.333,73.333,14.667,38.667,85.333,62.667,28,148
0.046512,0,0.21705,1.1628,0,0,0.24806,0,0.015504,0,0,0,0,0.3876,0,0,0,0,0,0,0.031008,39.643,0.031008,0.031008,0,0.12403,0.093023,0,0.62016,0.54264,0.32558,0.43411,0.29457
0,0,3.375,6.4063,0,0,4.5313,0.03125,0.03125,0,0,0,0.28125,17.219,3.0938,0,0.03125,0.0625,0,0,0.28125,145.28,9.5,0,0.0625,2.3438,0.15625,0.0625,39,15.438,1.5625,2.7813,30.281
0,0,11.688,10.125,0,0,4.625,0,0.625,0,0,0,0,12,4,0,0,0,0,0,0,729.13,2,1.5,0.5,10.063,26.375,4.125,6.0625,74.688,0.625,1.5625,17.063
7.5294,0,592.94,553.41,0,0,737.88,0,11.294,0,0,0,9.4118,698.35,1.8824,0,0,0,0,0,9.4118,1108.7,0,0,0,18.824,3.7647,0,0,37.647,60.235,45.176,5.6471
0.79121,0,0.087912,500.4,0,10.725,38.593,0,0.087912,0,3.5165,0,0.87912,199.12,2.2857,0.7033,0,0,0.087912,0,16.176,268.22,0,0,11.516,7.1209,2.022,3.0769,3.956,15.209,9.7582,98.022,7.6484
0.61538,0,1.5385,126.15,0,0,6.7692,10.462,0.92308,0,15.385,0,0.61538,66.462,0.61538,0,0,0,0,0,2.7692,293.54,0,0,9.2308,18.462,1.8462,5.5385,2.1538,13.231,5.2308,77.231,5.8462
57.846,0,7.3846,625.23,0,9.8462,88.615,2.4615,0.61538,0,0.61538,6.1538,9.2308,142.15,47.385,0,0,14.769,0,0,4.9231,736,0,0,15.385,52.308,0,0.61538,6.1538,40.615,0,19.077,43.077
2.1538,0,1.2308,151.69,1.2308,0,20.462,13.385,1.0769,0,0,0,1.2308,81.231,69.385,0.61538,0,0,1.6923,0.61538,18.308,506.31,0,0,8.9231,22.615,1.2308,4,1.2308,22.462,3.8462,9.2308,4.7692
14.381,0.095238,3.0794,143.97,1.2698,0.25397,21.873,38.222,0,0.031746,0,0,2.3175,8.7302,102.1,1.7778,0,0,0.28571,0,1.6825,69.968,0,0,2.6667,5.0476,1.1429,0.79365,3.0476,4.8254,4.9206,3.9365,3.4286
3.4568,0.24691,0.049383,32.753,0.74074,0.40741,8.8395,15.457,0,0,0,0,0.2963,7.2222,3.2222,1.1852,0.037037,0,0.7037,0,1.716,57.346,2.3827,0.39506,0.4321,7.1852,0.49383,0.23457,3.5802,3.9877,3.6543,1.0123,1.4198
0.60976,0.56098,0.14634,49.683,1.0244,0,6.878,17.146,0.02439,3.2439,0,0.02439,2.0732,14.878,3.5366,0.19512,0,0,0.53659,0,1.8293,58.976,0.19512,2.3415,1.2195,1.7561,1.3171,0.80488,14.537,4.0488,3.3415,3.1463,4.2195
0.24088,0.26277,0.036496,21.693,0.27737,0,2.3796,6.2701,0,0.27737,0.12409,0.24088,1.1825,16.066,1.0584,0.58394,0,0,0.19708,0,1.073,32.438,0,1.4088,0.46715,1.7883,0.94891,0.17518,7.365,2.7445,1.5328,0.47445,1.927
1.7391,0.63043,0.69565,46.826,2.3478,0.34783,11.891,16.391,0,0.69565,0.17391,0.043478,1.0435,20.457,9.7609,0.86957,0,0,1.087,0,5.1304,47.609,0,0.86957,1.6304,2.6304,1.587,0.8913,5.413,3.8261,2.6522,1.6304,2.9783
29.277,0,0.9078,130.04,0.22695,0,31.319,72.851,5.6738,0,0,0,1.3617,79.206,12.482,17.929,0.22695,1.8156,1.1348,0.4539,30.184,177.7,0,3.1773,3.1773,16.794,9.7589,2.4965,2.4965,16.34,1.8156,11.121,16.567
29.228,3.0236,6.0472,785.13,3.0236,9.0709,205.61,99.78,8.063,6.0472,2.0157,0,4.0315,155.21,452.54,4.0315,0,1.0079,1.0079,3.0236,73.575,708.54,0,8.063,4.0315,117.92,12.094,10.079,8.063,106.83,41.323,145.13,30.236
17.067,0,22.187,1162.2,3.4133,0,153.6,167.25,112.64,114.35,1.7067,0,10.24,141.65,554.67,30.72,6.8267,6.8267,6.8267,0,184.32,2517.3,0,0,15.36,300.37,32.427,44.373,37.547,218.45,54.613,508.59,112.64
3.4595,0,0.69189,399.57,1.3838,0.34595,19.373,95.827,12.8,7.6108,2.7676,1.0378,0.34595,118.31,173.66,22.832,0.34595,0.34595,1.3838,1.7297,21.795,463.91,0,1.3838,12.454,79.222,10.032,2.7676,11.07,38.054,4.4973,68.151,31.135
29.377,0,4.1967,1624.1,0,0,188.85,155.28,104.92,25.18,8.3934,0,8.3934,285.38,532.98,71.344,0,0,8.3934,8.3934,71.344,4314.2,0,8.3934,4.1967,268.59,46.164,20.984,41.967,503.61,83.934,323.15,507.8
19.288,1.7534,0,99.945,1.7534,0,16.658,40.329,1.7534,0,0.87671,1.7534,8.3288,126.68,28.932,4.8219,0,0,0.43836,2.1918,67.507,263.45,0,2.6301,7.0137,39.014,14.466,4.3836,0.87671,26.301,21.918,36.822,18.411
